state,Customer_Value_Score,Page_Views
Alabama,8875,128448
Alaska,5713,12252
Arizona,4549,193467
Arkansas,7607,55212
California,6813,"1,181,582"
Colorado,6432,167912
Connecticut,5722,96120
Delaware,6924,31775
Florida,6272,709497
Georgia,9566,440115
Hawaii,5252,32367
Idaho,7215,33264
Illinois,6491,422108
Indiana,8771,163037
Iowa,8492,58881
Kansas,3150,60311
Kentucky,9177,94805
Louisiana,8325,85287
Maine,13360,28444
Maryland,7521,188804
Massachusetts,6891,194462
Michigan,6896,250866
Minnesota,6312,129905
Mississippi,7888,57050
Missouri,7526,139520
Montana,2308,21660
Nebraska,10216,49922
Nevada,7959,89207
New Hampshire,7015,37065
New Jersey,6076,279784
New Mexico,16593,40451
New York,8538,486036
North Carolina,7271,335583
North Dakota,9164,16368
Ohio,7809,330408
Oklahoma,13083,74904
Oregon,6422,105893
Pennsylvania,9173,385903
Rhode Island,4503,26648
South Carolina,7840,128830
South Dakota,4762,14699
Tennessee,7569,184972
Texas,6857,863333
Utah,5598,69667
Vermont,3541,14122
Virginia,3686,393409
Washington,7526,208604
West Virginia,7048,38307
Wisconsin,3960,116148
Wyoming,7789,12838
